
[-0.7954,  1.7678, -1.2808,  0.4308,  0.8747, -0.6305] o
[-0.8064,  1.9953, -0.9831,  0.7100,  1.1818, -1.1531]
[-0.4831,  1.9275, -0.8680,  1.8928,  1.0792, -1.7261]
[-0.2676,  2.1074, -1.1871,  2.8793,  1.3820, -2.1976]
[-0.4396,  2.1692, -1.3034,  2.7575,  1.2643, -2.2182]
[-0.4832,  2.1594, -1.2836,  2.7168,  1.2418, -2.1969]
[-0.5038,  2.1702, -1.3038,  2.7022,  1.2258, -2.2001] c
[-0.3549,  2.1069, -1.1894,  2.8148,  1.3317, -2.1924]
[ 0.0785,  1.9675, -0.9094,  2.8797,  1.4551, -2.0722]
[ 0.2157,  1.9602, -0.8871,  2.8798,  1.4707, -2.0587]
[ 0.1916,  2.5448, -1.1488,  2.8798,  1.5290, -1.7506]
[ 0.1908,  2.6967, -1.2133,  2.8798,  1.5453, -1.6671] o




